Date,Scaler1
2011-01-01,9.205367883000001
2011-02-01,8.013063802
2011-03-01,8.630103388000002
2011-04-01,8.338725283999999
2011-05-01,11.13739343
2011-06-01,14.702137781
2011-07-01,20.028955876
2011-08-01,23.296082435
2011-09-01,21.062354615999997
2011-10-01,17.885311145999996
2011-11-01,12.969891914999998
2011-12-01,10.7410269
2012-01-01,9.499880038999999
2012-02-01,8.318253003999999
2012-03-01,8.623761199999999
2012-04-01,8.262984449
2012-05-01,11.092693693999998
2012-06-01,15.039842707999998
2012-07-01,20.251163197
2012-08-01,22.414214028
2012-09-01,20.004063313999996
2012-10-01,16.295459564999998
2012-11-01,12.702560679
2012-12-01,10.687126894999997
2013-01-01,9.480242331000001
2013-02-01,8.035416578999998
2013-03-01,8.620571786999998
2013-04-01,8.170084758999998
2013-05-01,8.963396591
2013-06-01,12.116528658
2013-07-01,17.935418394
2013-08-01,19.458427889000003
2013-09-01,19.764355127
2013-10-01,17.272410892
2013-11-01,12.316139676999999
2013-12-01,10.180067309999998
2014-01-01,9.110000570000002
2014-02-01,7.784812411000001
2014-03-01,7.927442373999999
2014-04-01,7.41884616
2014-05-01,8.294496311
2014-06-01,13.273083093000002
2014-07-01,19.057932103
2014-08-01,20.766500308
2014-09-01,19.048585519999996
2014-10-01,16.227598759
2014-11-01,11.802235475999996
2014-12-01,9.430953139000001
2015-01-01,8.502611557
2015-02-01,7.013012206000002
2015-03-01,7.598974637999999
2015-04-01,7.389328583000001
2015-05-01,7.670101917
2015-06-01,8.314599851
2015-07-01,13.963078680999997
2015-08-01,18.236156787
2015-09-01,19.031849032000004
2015-10-01,16.702753314000006
2015-11-01,13.789428306
2015-12-01,11.546982595000001
2016-01-01,9.789532315999999
2016-02-01,8.142690017999998
2016-03-01,8.355019659
2016-04-01,7.881907164999999
2016-05-01,8.358323219999999
2016-06-01,10.823448036999999
2016-07-01,15.843021307
2016-08-01,19.724333076
2016-09-01,19.578261642999998
2016-10-01,17.465060121
2016-11-01,13.662778792000003
2016-12-01,10.796777514999999
2017-01-01,8.898283521000002
2017-02-01,7.627831754
2017-03-01,8.154243739
2017-04-01,7.849383407
2017-05-01,8.351007512
2017-06-01,10.269076622999997
2017-07-01,15.048903728
2017-08-01,18.098203677
2017-09-01,17.926646315
2017-10-01,16.75204403
2017-11-01,11.687955422
2017-12-01,9.693314425
2018-01-01,8.335960894000001
2018-02-01,6.9272913119999995
2018-03-01,7.801988089999999
2018-04-01,7.607830303000001
2018-05-01,7.811022411000001
2018-06-01,8.168151932999999
2018-07-01,12.447784746
2018-08-01,16.789250999
2018-09-01,17.596763236000005
2018-10-01,14.339398834
2018-11-01,10.814985884999999
2018-12-01,9.018922231
