"co2level","Date","GPP","Precipitation","Tair","Tem_soil_surface","Tem_soil_0_10cm","Tem_soil_10_20cm","Tem_soil_20_30cm","Tem_soil_30_40cm","Tem_soil_40_50cm","Tem_soil_50_60cm","Tem_soil_60_70cm","Tem_soil_70_80cm","Tem_soil_80_90cm","Tem_soil_90_100cm","Water_soil_0_10cm","Water_soil_10_20cm","Water_soil_20_30cm","Water_soil_30_40cm","Water_soil_40_50cm","Water_soil_50_60cm","Water_soil_60_70cm","Water_soil_70_80cm","Water_soil_80_90cm","Water_soil_90_100cm"
"CO2: 400 ppm",2015-05-08,0.6895,1.1,6.58666666666667,3.50666666666667,0.927916666666667,-0.193333333333333,-0.4475,-0.510416666666667,-0.218333333333333,0.413333333333333,1.04458333333333,1.57,1.99041666666667,2.41208333333333,0.808395833333333,0.939445833333333,0.942704166666667,0.945204166666667,0.947058333333333,0.948320833333333,0.9491,0.9496,0.9498,0.95
"CO2: 400 ppm",2015-05-09,0.7658,0,7.05166666666667,2.90833333333333,0.689166666666667,-0.241666666666667,-0.463333333333333,-0.520833333333333,-0.212916666666667,0.41375,1.04333333333333,1.56416666666667,1.98333333333333,2.40416666666667,0.8011875,0.939445833333333,0.942825,0.945325,0.947129166666667,0.948370833333333,0.9491,0.9496,0.9498,0.95
"CO2: 400 ppm",2015-05-10,0.7794,21.1,7.94958333333333,3.51916666666667,0.937083333333333,-0.19125,-0.449166666666667,-0.52625,-0.227083333333333,0.4,1.02625,1.54583333333333,1.96208333333333,2.38166666666667,0.812391666666667,0.939420833333333,0.942891666666667,0.945391666666667,0.947175,0.9483875,0.949116666666667,0.9496,0.9498,0.95
"CO2: 400 ppm",2015-05-11,0.3296,22.3,5.3125,1.66875,0.148333333333333,-0.348333333333333,-0.470833333333333,-0.472083333333333,-0.17875,0.44125,1.05916666666667,1.57666666666667,1.99083333333333,2.40541666666667,0.9528125,0.940641666666667,0.943583333333333,0.945783333333333,0.9473875,0.948491666666667,0.9492,0.9496,0.949841666666667,0.95
"CO2: 400 ppm",2015-05-12,0.3879,0.8,5.07375,2.01958333333333,0.297083333333333,-0.324166666666667,-0.454583333333333,-0.484166666666667,-0.184166666666667,0.43625,1.06041666666667,1.57791666666667,1.98791666666667,2.39791666666667,0.952725,0.9413875,0.944075,0.946091666666667,0.9475625,0.9486,0.949220833333333,0.9496,0.9499,0.95
"CO2: 400 ppm",2015-05-13,0.1069,13.6,4.56958333333333,0.990416666666667,-0.0145833333333333,-0.38625,-0.46125,-0.461666666666667,-0.168333333333333,0.454583333333333,1.07958333333333,1.5975,2.00625,2.41625,0.952891666666667,0.9419375,0.944433333333333,0.946320833333333,0.9477,0.948658333333333,0.9493,0.949670833333333,0.9499,0.95
"CO2: 400 ppm",2015-05-14,0.2898,14,8.53458333333333,2.61666666666667,0.57375,-0.28,-0.4625,-0.509583333333333,-0.207916666666667,0.406666666666667,1.02041666666667,1.53375,1.94291666666667,2.35166666666667,0.952879166666667,0.9429,0.945033333333333,0.946670833333333,0.947908333333333,0.948779166666667,0.949333333333333,0.9497,0.9499,0.95
"CO2: 400 ppm",2015-05-15,1.2305,0.8,11.3541666666667,3.88666666666667,0.99625,-0.205416666666667,-0.485416666666667,-0.565416666666667,-0.258333333333333,0.3575,0.973333333333333,1.48458333333333,1.89208333333333,2.29958333333333,0.9528875,0.943629166666667,0.945504166666667,0.946975,0.948075,0.948879166666667,0.9494,0.9497,0.9499,0.95
"CO2: 400 ppm",2015-05-16,2.3408,0,13.92625,4.48458333333333,1.23375,-0.156666666666667,-0.477083333333333,-0.58125,-0.279583333333333,0.33125,0.94375,1.45166666666667,1.8575,2.26375,0.952783333333333,0.9435,0.945525,0.947033333333333,0.9481375,0.9489,0.9494,0.9497,0.9499,0.95
"CO2: 400 ppm",2015-05-17,2.1658,29.8,16.3225,5.99875,1.96041666666667,-0.00708333333333333,-0.483333333333333,-0.610833333333333,-0.31625,0.288333333333333,0.894583333333333,1.40041666666667,1.80583333333333,2.21041666666667,0.952870833333333,0.9436375,0.945654166666667,0.947133333333333,0.948204166666667,0.948970833333333,0.949454166666667,0.949758333333333,0.9499,0.95
