1.2989e-009	    -6.7878e-012	5.2957e-009	    1.7167e-011	    5.3156e-010	    2.5561e-011	    1.2144e-012
-6.7878e-012	1.1862e-010	    5.7477e-009	    6.3075e-010	    4.5307e-010	    1.3128e-010	    1.719e-013
5.2957e-009	    5.7477e-009	    3.4585e-005	    -2.2082e-007	-6.2344e-007	-2.7854e-010	9.0464e-010
1.7167e-011	    6.3075e-010	    -2.2082e-007	8.3933e-009	    8.6988e-009	    1.023e-009	    -4.0094e-012
5.3156e-010	    4.5307e-010	    -6.2344e-007	8.6988e-009	    1.0611e-006	    -1.299e-008	    2.097e-010
2.5561e-011	    1.3128e-010	    -2.7854e-010	1.023e-009	    -1.299e-008	    1.0477e-009	    -2.0955e-012
1.2144e-012	    1.719e-013	    9.0464e-010	    -4.0094e-012	2.097e-010	    -2.0955e-012	4.6867e-012
8.2095e-009	    -1.721e-010	    8.3563e-009	    -2.7488e-009	-4.2713e-009	-2.813e-010	    -1.6096e-012
-1.721e-010	    1.2324e-010	    1.6925e-009	    2.8643e-010	    6.5954e-011	    3.7524e-011	    -4.3795e-014
8.3563e-009	    1.6925e-009	    3.3459e-005	    -7.6044e-008	7.243e-008	    1.811e-009	    3.1149e-010
-2.7488e-009	2.8643e-010	    -7.6044e-008	4.4221e-008	    7.635e-010	    3.186e-010	    5.4717e-012
-4.2713e-009	6.5954e-011	    7.243e-008	    7.635e-010	    1.2033e-006	    -2.822e-009	    1.0246e-010
-2.813e-010	    3.7524e-011	    1.811e-009	    3.186e-010	    -2.822e-009	    1.0416e-009	    -3.5187e-013
-1.6096e-012	-4.3795e-014	3.1149e-010	    5.4717e-012	    1.0246e-010	    -3.5187e-013	4.2444e-012
